ADBE,거래소,기호,멕시코,부문,산업,소프트웨어와 프로그래밍,어도비 시스템즈,종목,테크놀로지
,심천,300121,,기초 소재,화학제조,,,Shandong Yanggu Huatai Chemical,
,심천,300261,,기초 소재,화학제조,,,Aba Chemicals,
,심천,300225,,기초 소재,화학제조,,,Shanghai Kinlita Chemical Co,
,심천,2224,,기초 소재,조립식 플라스틱과 고무,,,Sanlux Rubber A,
,상하이,603938,,기초 소재,화학제조,,,Tangshan Sunfar Silicon,
,심천,2669,,기초 소재,화학제조,,,Shanghai Kangda New Materials A,
,상하이,603505,,기초 소재,금속 광업,,,China Kings Resources,
,심천,2749,,기초 소재,화학제조,,,Sichuan Guoguang Agrochemical,
,심천,300434,,기초 소재,조립식 플라스틱과 고무,,,Sichuan Goldstone Equipment,
,심천,973,,기초 소재,화학 제품 – 플라스틱과 고무,,,Fspg Hi-Tech A,
,심천,2114,,기초 소재,금속 광업,,,Lp Zinc & Elec A,
,심천,949,,기초 소재,화학 제품 – 플라스틱과 고무,,,Xinxiang Chem A,
,상하이,603618,,기초 소재,다종 조립 제품,,,Hangzhou Cable,
,심천,2228,,기초 소재,컨테이너와 포장,,,Hexing Packaging A,
,심천,2803,,기초 소재,컨테이너와 포장,,,Xiamen Jihong Package Tech,
,심천,300107,,기초 소재,화학제조,,,Hebi Janxi Chemical,
,상하이,603826,,기초 소재,화학제조,,,Fujian Kuncai Material Tech,
,심천,659,,기초 소재,컨테이너와 포장,,,Zhuhai Zhongfu A,
,심천,2391,,기초 소재,화학제조,,,Changqing Chem A,
,심천,2578,,기초 소재,금속 광업,,,Minfa Aluminium A,
,상하이,600459,,기초 소재,다종 조립 제품,,,Sino-Platinum Metals,
,심천,2182,,기초 소재,금속 광업,,,Yunhai Metals A,
,심천,693,,기초 소재,다종 조립 제품,,,Huaze Cobalt A,
,상하이,600888,,기초 소재,다종 조립 제품,,,Xinjiang Joinworld,
,심천,2170,,기초 소재,화학제조,,,Batian Ecotypic A,
,심천,2109,,기초 소재,화학제조,,,Xinghua Chem A,
,심천,2471,,기초 소재,다종 조립 제품,,,Zhongchao Cable A,
,심천,300512,,기초 소재,컨테이너와 포장,,,Hangzhou Zhongya Machinery,
,상하이,600527,,기초 소재,화학 제품 – 플라스틱과 고무,,,Jiangsu Jiangnan Fiber,
,심천,708,,기초 소재,철과 철강,,,Daye Steel A,
,심천,698,,기초 소재,화학제조,,,Shenyang Chem A,
,심천,2556,,기초 소재,화학제조,,,Huilong Agri Pro A,
,심천,300041,,기초 소재,화학제조,,,Hubei Huitian New Materials,
,심천,2386,,기초 소재,화학 제품 – 플라스틱과 고무,,,Yibin Tianyuan Group Co Ltd,
