Name,Symbol,Exchange,Sector,Industry,Listing_status,Delisting_date,New_listing_date
Yangmei Chemical,600691,상하이,기초 소재,화학제조,O,null,null
Shandong Dawn,2838,심천,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Qingdao Citymedia,600229,상하이,기초 소재,화학제조,O,null,null
Guangdong Mingzhu,600382,상하이,기초 소재,다종 조립 제품,O,null,null
Yunnan Salt Chem A,2053,심천,기초 소재,화학제조,O,null,null
Zhejiang Wansheng,603010,상하이,기초 소재,화학제조,O,null,null
Start Group,600734,상하이,기초 소재,다종 조립 제품,O,null,null
Fujian Acetron New Materials,300706,심천,기초 소재,금속 광업,O,null,null
Sierte Fertiliz A,2538,심천,기초 소재,화학제조,O,null,null
Jiangnan Chemica A,2226,심천,기초 소재,화학제조,O,null,null
Changsha DIALINE New Material,300700,심천,기초 소재,다종 조립 제품,O,null,null
Jiangsu Dewei Materials,300325,심천,기초 소재,다종 조립 제품,O,null,null
Jingshan A,821,심천,기초 소재,컨테이너와 포장,O,null,null
Guangdong Guanhao,600433,상하이,기초 소재,종이와 종이 제품,O,null,null
Orient Zirconic A,2167,심천,기초 소재,금속 광업,O,null,null
Shindoo Chemical A,2539,심천,기초 소재,화학제조,O,null,null
Xinke Material,600255,상하이,기초 소재,금속 광업,O,null,null
Baosheng,600973,상하이,기초 소재,다종 조립 제품,O,null,null
Truking Tech,300358,심천,기초 소재,컨테이너와 포장,O,null,null
Great Southeast A,2263,심천,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Nantong Jiangshan,600389,상하이,기초 소재,화학제조,O,null,null
Juli Sling A,2342,심천,기초 소재,다종 조립 제품,O,null,null
Qh Gelatin A,606,심천,기초 소재,화학제조,O,null,null
Sinomine Resource Exploration,2738,심천,기초 소재,비금속 광업,O,null,null
Longxing Chemical Stock Co Ltd,2442,심천,기초 소재,화학제조,O,null,null
Silvery Dragon Prestressed Materials,603969,상하이,기초 소재,철과 철강,O,null,null
JCHX Mining Management,603979,상하이,기초 소재,금속 광업,O,null,null
Tong Hua Shuang Long Chemical,300108,심천,기초 소재,화학제조,O,null,null
Hailir Pesticides,603639,상하이,기초 소재,화학제조,O,null,null
Baocheng Inves,600892,상하이,기초 소재,다종 조립 제품,O,null,null
Gansu Dayu Water saving Group,300021,심천,기초 소재,조립식 플라스틱과 고무,O,null,null
Jinlongyu A,2882,심천,기초 소재,다종 조립 제품,O,null,null
Zhejiang Daoming Optics Chem A,2632,심천,기초 소재,조립식 플라스틱과 고무,O,null,null
Jiangmen Kanhoo Industry,300340,심천,기초 소재,화학제조,O,null,null
Shanghai Material Trading B,900927,상하이,기초 소재,다종 조립 제품,O,null,null
Shanghai Material Trading A,600822,상하이,기초 소재,다종 조립 제품,O,null,null
Nanjing Quanxin Cable Tech,300447,심천,기초 소재,다종 조립 제품,O,null,null
Sufa Tech A,777,심천,기초 소재,다종 조립 제품,O,null,null
Shengli A,407,심천,기초 소재,화학제조,O,null,null
Xining Special Steel,600117,상하이,기초 소재,철과 철강,O,null,null
Shenzhen Esun Display,2751,심천,기초 소재,다종 조립 제품,O,null,null
Danhua Chemical Tech A,600844,상하이,기초 소재,화학제조,O,null,null
Danhua Chemical Tech B,900921,상하이,기초 소재,화학제조,O,null,null
Shandong Yanggu Huatai Chemical,300121,심천,기초 소재,화학제조,O,null,null
Aba Chemicals,300261,심천,기초 소재,화학제조,O,null,null
Shanghai Kinlita Chemical Co,300225,심천,기초 소재,화학제조,O,null,null
Sanlux Rubber A,2224,심천,기초 소재,조립식 플라스틱과 고무,O,null,null
Tangshan Sunfar Silicon,603938,상하이,기초 소재,화학제조,O,null,null
Shanghai Kangda New Materials A,2669,심천,기초 소재,화학제조,O,null,null
China Kings Resources,603505,상하이,기초 소재,금속 광업,O,null,null
Sichuan Guoguang Agrochemical,2749,심천,기초 소재,화학제조,O,null,null
Sichuan Goldstone Equipment,300434,심천,기초 소재,조립식 플라스틱과 고무,O,null,null
Fspg Hi-Tech A,973,심천,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Lp Zinc & Elec A,2114,심천,기초 소재,금속 광업,O,null,null
Xinxiang Chem A,949,심천,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Hangzhou Cable,603618,상하이,기초 소재,다종 조립 제품,O,null,null
Hexing Packaging A,2228,심천,기초 소재,컨테이너와 포장,O,null,null
Xiamen Jihong Package Tech,2803,심천,기초 소재,컨테이너와 포장,O,null,null
Hebi Janxi Chemical,300107,심천,기초 소재,화학제조,O,null,null
Fujian Kuncai Material Tech,603826,상하이,기초 소재,화학제조,O,null,null
Zhuhai Zhongfu A,659,심천,기초 소재,컨테이너와 포장,O,null,null
Changqing Chem A,2391,심천,기초 소재,화학제조,O,null,null
Minfa Aluminium A,2578,심천,기초 소재,금속 광업,O,null,null
Sino-Platinum Metals,600459,상하이,기초 소재,다종 조립 제품,O,null,null
Yunhai Metals A,2182,심천,기초 소재,금속 광업,O,null,null
Huaze Cobalt A,693,심천,기초 소재,다종 조립 제품,O,null,null
Xinjiang Joinworld,600888,상하이,기초 소재,다종 조립 제품,O,null,null
Batian Ecotypic A,2170,심천,기초 소재,화학제조,O,null,null
Xinghua Chem A,2109,심천,기초 소재,화학제조,O,null,null
Zhongchao Cable A,2471,심천,기초 소재,다종 조립 제품,O,null,null
Hangzhou Zhongya Machinery,300512,심천,기초 소재,컨테이너와 포장,O,null,null
Jiangsu Jiangnan Fiber,600527,상하이,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Daye Steel A,708,심천,기초 소재,철과 철강,O,null,null
Shenyang Chem A,698,심천,기초 소재,화학제조,O,null,null
